[11:07:15 ::1] admin (1) :SELECT b.BRA_ID_PK ,c.AST_START_DATE ,c.ASSET_STATUS_TYPE_NAME ,c.AST_REMARK ,c.AST_CREATE_DATE ,c.AST_UPDATER FROM WH_BANKRUPT_CASE_DETAIL a JOIN WH_BANKRUPT_ASSETS b ON a.WH_BANKRUPT_ID =b.WH_BANKRUPT_ID JOIN WH_BANKRUPT_ASSETS_MOVEMENT c ON b.BRA_ID_PK =c.AST_BRA_ID_FK WHERE 1=1 AND a.BANKRUPT_CODE ='27498' AND b.ASSET_ID ='76248'
[11:07:15 ::1] admin (1) :SELECT b.BRA_ID_PK ,c.AST_START_DATE ,c.ASSET_STATUS_TYPE_NAME ,c.AST_REMARK ,c.AST_CREATE_DATE ,c.AST_UPDATER FROM WH_BANKRUPT_CASE_DETAIL a JOIN WH_BANKRUPT_ASSETS b ON a.WH_BANKRUPT_ID =b.WH_BANKRUPT_ID JOIN WH_BANKRUPT_ASSETS_MOVEMENT c ON b.BRA_ID_PK =c.AST_BRA_ID_FK WHERE 1=1 AND a.BANKRUPT_CODE ='27498' AND b.ASSET_ID ='76248'
[11:07:15 ::1] admin (1) :SELECT b.BRA_ID_PK ,c.AST_START_DATE ,c.ASSET_STATUS_TYPE_NAME ,c.AST_REMARK ,c.AST_CREATE_DATE ,c.AST_UPDATER FROM WH_BANKRUPT_CASE_DETAIL a JOIN WH_BANKRUPT_ASSETS b ON a.WH_BANKRUPT_ID =b.WH_BANKRUPT_ID JOIN WH_BANKRUPT_ASSETS_MOVEMENT c ON b.BRA_ID_PK =c.AST_BRA_ID_FK WHERE 1=1 AND a.BANKRUPT_CODE ='27498' AND b.ASSET_ID ='76248'
[11:11:32 ::1] admin (1) :SELECT b.BRA_ID_PK ,c.AST_START_DATE ,c.ASSET_STATUS_TYPE_NAME ,c.AST_REMARK ,c.AST_CREATE_DATE ,c.AST_UPDATER FROM WH_BANKRUPT_CASE_DETAIL a JOIN WH_BANKRUPT_ASSETS b ON a.WH_BANKRUPT_ID =b.WH_BANKRUPT_ID JOIN WH_BANKRUPT_ASSETS_MOVEMENT c ON b.BRA_ID_PK =c.AST_BRA_ID_FK WHERE 1=1 AND a.BANKRUPT_CODE ='27498' AND b.ASSET_ID ='76243'
[11:11:32 ::1] admin (1) :SELECT b.BRA_ID_PK ,c.AST_START_DATE ,c.ASSET_STATUS_TYPE_NAME ,c.AST_REMARK ,c.AST_CREATE_DATE ,c.AST_UPDATER FROM WH_BANKRUPT_CASE_DETAIL a JOIN WH_BANKRUPT_ASSETS b ON a.WH_BANKRUPT_ID =b.WH_BANKRUPT_ID JOIN WH_BANKRUPT_ASSETS_MOVEMENT c ON b.BRA_ID_PK =c.AST_BRA_ID_FK WHERE 1=1 AND a.BANKRUPT_CODE ='27498' AND b.ASSET_ID ='76243'
[11:11:32 ::1] admin (1) :SELECT b.BRA_ID_PK ,c.AST_START_DATE ,c.ASSET_STATUS_TYPE_NAME ,c.AST_REMARK ,c.AST_CREATE_DATE ,c.AST_UPDATER FROM WH_BANKRUPT_CASE_DETAIL a JOIN WH_BANKRUPT_ASSETS b ON a.WH_BANKRUPT_ID =b.WH_BANKRUPT_ID JOIN WH_BANKRUPT_ASSETS_MOVEMENT c ON b.BRA_ID_PK =c.AST_BRA_ID_FK WHERE 1=1 AND a.BANKRUPT_CODE ='27498' AND b.ASSET_ID ='76243'
[11:13:03 ::1] admin (1) :SELECT b.BRA_ID_PK ,c.AST_START_DATE ,c.ASSET_STATUS_TYPE_NAME ,c.AST_REMARK ,c.AST_CREATE_DATE ,c.AST_UPDATER FROM WH_BANKRUPT_CASE_DETAIL a JOIN WH_BANKRUPT_ASSETS b ON a.WH_BANKRUPT_ID =b.WH_BANKRUPT_ID JOIN WH_BANKRUPT_ASSETS_MOVEMENT c ON b.BRA_ID_PK =c.AST_BRA_ID_FK WHERE 1=1 AND a.BANKRUPT_CODE ='27498' AND b.ASSET_ID ='76243'
[11:13:03 ::1] admin (1) :SELECT b.BRA_ID_PK ,c.AST_START_DATE ,c.ASSET_STATUS_TYPE_NAME ,c.AST_REMARK ,c.AST_CREATE_DATE ,c.AST_UPDATER FROM WH_BANKRUPT_CASE_DETAIL a JOIN WH_BANKRUPT_ASSETS b ON a.WH_BANKRUPT_ID =b.WH_BANKRUPT_ID JOIN WH_BANKRUPT_ASSETS_MOVEMENT c ON b.BRA_ID_PK =c.AST_BRA_ID_FK WHERE 1=1 AND a.BANKRUPT_CODE ='27498' AND b.ASSET_ID ='76243'
[11:13:03 ::1] admin (1) :SELECT b.BRA_ID_PK ,c.AST_START_DATE ,c.ASSET_STATUS_TYPE_NAME ,c.AST_REMARK ,c.AST_CREATE_DATE ,c.AST_UPDATER FROM WH_BANKRUPT_CASE_DETAIL a JOIN WH_BANKRUPT_ASSETS b ON a.WH_BANKRUPT_ID =b.WH_BANKRUPT_ID JOIN WH_BANKRUPT_ASSETS_MOVEMENT c ON b.BRA_ID_PK =c.AST_BRA_ID_FK WHERE 1=1 AND a.BANKRUPT_CODE ='27498' AND b.ASSET_ID ='76243'
[11:13:40 ::1] admin (1) :SELECT b.BRA_ID_PK ,c.AST_START_DATE ,c.ASSET_STATUS_TYPE_NAME ,c.AST_REMARK ,c.AST_CREATE_DATE ,c.AST_UPDATER FROM WH_BANKRUPT_CASE_DETAIL a JOIN WH_BANKRUPT_ASSETS b ON a.WH_BANKRUPT_ID =b.WH_BANKRUPT_ID JOIN WH_BANKRUPT_ASSETS_MOVEMENT c ON b.BRA_ID_PK =c.AST_BRA_ID_FK WHERE 1=1 AND a.BANKRUPT_CODE ='27498' AND b.ASSET_ID ='76243'
[11:13:40 ::1] admin (1) :SELECT b.BRA_ID_PK ,c.AST_START_DATE ,c.ASSET_STATUS_TYPE_NAME ,c.AST_REMARK ,c.AST_CREATE_DATE ,c.AST_UPDATER FROM WH_BANKRUPT_CASE_DETAIL a JOIN WH_BANKRUPT_ASSETS b ON a.WH_BANKRUPT_ID =b.WH_BANKRUPT_ID JOIN WH_BANKRUPT_ASSETS_MOVEMENT c ON b.BRA_ID_PK =c.AST_BRA_ID_FK WHERE 1=1 AND a.BANKRUPT_CODE ='27498' AND b.ASSET_ID ='76243'
